软件名,CVE编号,描述,githuburl,commit,new_good,cwe编号,cwe链接
hadoop,CVE-2012-1574,"The Kerberos/MapReduce security functionality in Apache Hadoop 0.20.203.0 through 0.20.205.0, 0.23.x before 0.23.2, and 1.0.x before 1.0.2, as used in Cloudera CDH CDH3u0 through CDH3u2, Cloudera hadoop-0.20-sbin before 0.20.2+923.197, and other products, allows remote authenticated users to impersonate arbitrary cluster user accounts via unspecified vectors.",https://github.com/apache/hadoop,,,CWE-310,https://cwe.mitre.org/data/definitions/310.html
hadoop,CVE-2012-3376,"DataNodes in Apache Hadoop 2.0.0 alpha does not check the BlockTokens of clients when Kerberos is enabled and the DataNode has checked out the same BlockPool twice from a NodeName, which might allow remote clients to read arbitrary blocks, write to blocks to which they only have read access, and have other unspecified impacts.",https://github.com/apache/hadoop,,,CWE-310,https://cwe.mitre.org/data/definitions/310.html
hadoop,CVE-2013-2192,"The RPC protocol implementation in Apache Hadoop 2.x before 2.0.6-alpha, 0.23.x before 0.23.9, and 1.x before 1.2.1, when the Kerberos security features are enabled, allows man-in-the-middle attackers to disable bidirectional authentication and obtain sensitive information by forcing a downgrade to simple authentication.",https://github.com/apache/hadoop,,,CWE-287,https://cwe.mitre.org/data/definitions/287.html
hadoop,CVE-2014-3627,"The YARN NodeManager daemon in Apache Hadoop 0.23.0 through 0.23.11 and 2.x before 2.5.2, when using Kerberos authentication, allows remote cluster users to change the permissions of certain files to world-readable via a symlink attack in a public tar archive, which is not properly handled during localization, related to distributed cache.",https://github.com/apache/hadoop,,,CWE-59,https://cwe.mitre.org/data/definitions/59.html
hadoop,CVE-2015-1776,"Apache Hadoop 2.6.x encrypts intermediate data generated by a MapReduce job and stores it along with the encryption key in a credentials file on disk when the Intermediate data encryption feature is enabled, which allows local users to obtain sensitive information by reading the file.",https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2016-5393,"In Apache Hadoop 2.6.x before 2.6.5 and 2.7.x before 2.7.3, a remote user who can authenticate with the HDFS NameNode can possibly run arbitrary commands with the same privileges as the HDFS service.",https://github.com/apache/hadoop,,,CWE-284,https://cwe.mitre.org/data/definitions/284.html
hadoop,CVE-2014-0229,"Apache Hadoop 0.23.x before 0.23.11 and 2.x before 2.4.1, as used in Cloudera CDH 5.0.x before 5.0.2, do not check authorization for the (1) refreshNamenodes, (2) deleteBlockPool, and (3) shutdownDatanode HDFS admin commands, which allows remote authenticated users to cause a denial of service (DataNodes shutdown) or perform unnecessary operations by issuing a command.",https://github.com/apache/hadoop,,,CWE-264,https://cwe.mitre.org/data/definitions/264.html
hadoop,CVE-2016-6811,"In Apache Hadoop 2.x before 2.7.4, a user who can escalate to yarn user can possibly run arbitrary commands as root user.",https://github.com/apache/hadoop,,,CWE-264,https://cwe.mitre.org/data/definitions/264.html
hadoop,CVE-2017-3161,The HDFS web UI in Apache Hadoop before 2.7.0 is vulnerable to a cross-site scripting (XSS) attack through an unescaped query parameter.,https://github.com/apache/hadoop,,,CWE-79,https://cwe.mitre.org/data/definitions/79.html
hadoop,CVE-2017-3162,HDFS clients interact with a servlet on the DataNode to browse the HDFS namespace. The NameNode is provided as a query parameter that is not validated in Apache Hadoop before 2.7.0.,https://github.com/apache/hadoop,,,CWE-20,https://cwe.mitre.org/data/definitions/20.html
hadoop,CVE-2017-7669,"In Apache Hadoop 2.8.0, 3.0.0-alpha1, and 3.0.0-alpha2, the LinuxContainerExecutor runs docker commands as root with insufficient input validation. When the docker feature is enabled, authenticated users can run commands as root.",https://github.com/apache/hadoop,,,CWE-20,https://cwe.mitre.org/data/definitions/20.html
hadoop,CVE-2016-5001,This is an information disclosure vulnerability in Apache Hadoop before 2.6.4 and 2.7.x before 2.7.2 in the short-circuit reads feature of HDFS. A local user on an HDFS DataNode may be able to craft a block token that grants unauthorized read access to random files by guessing certain fields in the token.,https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2016-3086,The YARN NodeManager in Apache Hadoop 2.6.x before 2.6.5 and 2.7.x before 2.7.3 can leak the password for credential store provider used by the NodeManager to YARN Applications.,https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2012-4449,"Apache Hadoop before 0.23.4, 1.x before 1.0.4, and 2.x before 2.0.2 generate token passwords using a 20-bit secret when Kerberos security features are enabled, which makes it easier for context-dependent attackers to crack secret keys via a brute-force attack.",https://github.com/apache/hadoop,,,CWE-327,https://cwe.mitre.org/data/definitions/327.html
hadoop,CVE-2017-3166,"In Apache Hadoop versions 2.6.1 to 2.6.5, 2.7.0 to 2.7.3, and 3.0.0-alpha1, if a file in an encryption zone with access permissions that make it world readable is localized via YARN's localization mechanism, that file will be stored in a world-readable location and can be shared freely with any application that requests to localize that file.",https://github.com/apache/hadoop,,,CWE-732,https://cwe.mitre.org/data/definitions/732.html
hadoop,CVE-2017-15713,"Vulnerability in Apache Hadoop 0.23.x, 2.x before 2.7.5, 2.8.x before 2.8.3, and 3.0.0-alpha through 3.0.0-beta1 allows a cluster user to expose private files owned by the user running the MapReduce job history server process. The malicious user can construct a configuration file containing XML directives that reference sensitive files on the MapReduce job history server host.",https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2017-15718,The YARN NodeManager in Apache Hadoop 2.7.3 and 2.7.4 can leak the password for credential store provider used by the NodeManager to YARN Applications.,https://github.com/apache/hadoop,,,NVD-CWE-noinfo,https://cwe.mitre.org/data/definitions/NVD-noinfo.html
hadoop,CVE-2018-8042,"Apache Ambari, version 2.5.0 to 2.6.2, passwords for Hadoop credential stores are exposed in Ambari Agent informational log messages when the credential store feature is enabled for eligible services. For example, Hive and Oozie.",https://github.com/apache/hadoop,,,CWE-209,https://cwe.mitre.org/data/definitions/209.html
hadoop,CVE-2018-8009,"Apache Hadoop 3.1.0, 3.0.0-alpha to 3.0.2, 2.9.0 to 2.9.1, 2.8.0 to 2.8.4, 2.0.0-alpha to 2.7.6, 0.23.0 to 0.23.11 is exploitable via the zip slip vulnerability in places that accept a zip file.",https://github.com/apache/hadoop,,,CWE-22,https://cwe.mitre.org/data/definitions/22.html
hadoop,CVE-2018-11766,"In Apache Hadoop 2.7.4 to 2.7.6, the security fix for CVE-2016-6811 is incomplete. A user who can escalate to yarn user can possibly run arbitrary commands as root user.",https://github.com/apache/hadoop,,,NVD-CWE-noinfo,https://cwe.mitre.org/data/definitions/NVD-noinfo.html
hadoop,CVE-2018-1296,"In Apache Hadoop 3.0.0-alpha1 to 3.0.0, 2.9.0, 2.8.0 to 2.8.3, and 2.5.0 to 2.7.5, HDFS exposes extended attribute key/value pairs during listXAttrs, verifying only path-level search access to the directory rather than path-level read permission to the referent.",https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2018-11767,"In Apache Hadoop 2.9.0 to 2.9.1, 2.8.3 to 2.8.4, 2.7.5 to 2.7.6, KMS blocking users or granting access to users incorrectly, if the system uses non-default groups mapping mechanisms.",https://github.com/apache/hadoop,,,CWE-269,https://cwe.mitre.org/data/definitions/269.html
hadoop,CVE-2018-8029,"In Apache Hadoop versions 3.0.0-alpha1 to 3.1.0, 2.9.0 to 2.9.1, and 2.2.0 to 2.8.4, a user who can escalate to yarn user can possibly run arbitrary commands as root user.",https://github.com/apache/hadoop,,,NVD-CWE-noinfo,https://cwe.mitre.org/data/definitions/NVD-noinfo.html
hadoop,CVE-2018-6185,"In Cloudera Navigator Key Trustee KMS 5.12 and 5.13, incorrect default ACL values allow remote access to purge and undelete API calls on encryption zone keys. The Navigator Key Trustee KMS includes 2 API calls in addition to those in Apache Hadoop KMS: purge and undelete. The KMS ACL values for these commands are keytrustee.kms.acl.PURGE and keytrustee.kms.acl.UNDELETE respectively. The default value for the ACLs in Key Trustee KMS 5.12.0 and 5.13.0 is ""*"" which allows anyone with knowledge of the name of an encryption zone key and network access to the Key Trustee KMS to make those calls against known encryption zone keys. This can result in the recovery of a previously deleted, but not purged, key (undelete) or the deletion of a key in active use (purge) resulting in loss of access to encrypted HDFS data.",https://github.com/apache/hadoop,,,CWE-310,https://cwe.mitre.org/data/definitions/310.html
hadoop,CVE-2018-11768,"In Apache Hadoop 3.1.0 to 3.1.1, 3.0.0-alpha1 to 3.0.3, 2.9.0 to 2.9.1, and 2.0.0-alpha to 2.8.4, the user/group information can be corrupted across storing in fsimage and reading back from fsimage.",https://github.com/apache/hadoop,,,CWE-119,https://cwe.mitre.org/data/definitions/119.html
hadoop,CVE-2018-11765,"In Apache Hadoop versions 3.0.0-alpha2 to 3.0.0, 2.9.0 to 2.9.2, 2.8.0 to 2.8.5, any users can access some servlets without authentication when Kerberos authentication is enabled and SPNEGO through HTTP is not enabled.",https://github.com/apache/hadoop,,,CWE-287,https://cwe.mitre.org/data/definitions/287.html
hadoop,CVE-2018-11764,"Web endpoint authentication check is broken in Apache Hadoop 3.0.0-alpha4, 3.0.0-beta1, and 3.0.0. Authenticated users may impersonate any user even if no proxy user is configured.",https://github.com/apache/hadoop,,,CWE-306,https://cwe.mitre.org/data/definitions/306.html
hadoop,CVE-2020-9492,"In Apache Hadoop 3.2.0 to 3.2.1, 3.0.0-alpha1 to 3.1.3, and 2.0.0-alpha to 2.10.0, WebHDFS client might send SPNEGO authorization header to remote URL without proper verification.",https://github.com/apache/hadoop,,,CWE-863,https://cwe.mitre.org/data/definitions/863.html
hadoop,CVE-2021-36151,"In Apache Gobblin, the Hadoop token is written to a temp file that is visible to all local users on Unix-like systems. This affects versions <= 0.15.0. Users should update to version 0.16.0 which addresses this issue.",https://github.com/apache/hadoop,,,CWE-200,https://cwe.mitre.org/data/definitions/200.html
hadoop,CVE-2022-26612,"In Apache Hadoop, The unTar function uses unTarUsingJava function on Windows and the built-in tar utility on Unix and other OSes. As a result, a TAR entry may create a symlink under the expected extraction directory which points to an external directory. A subsequent TAR entry may extract an arbitrary file into the external directory using the symlink name. This however would be caught by the same targetDirPath check on Unix because of the getCanonicalPath call. However on Windows, getCanonicalPath doesn't resolve symbolic links, which bypasses the check. unpackEntries during TAR extraction follows symbolic links which allows writing outside expected base directory on Windows. This was addressed in Apache Hadoop 3.2.3",https://github.com/apache/hadoop,,,CWE-59,https://cwe.mitre.org/data/definitions/59.html
hadoop,CVE-2021-37404,"There is a potential heap buffer overflow in Apache Hadoop libhdfs native code. Opening a file path provided by user without validation may result in a denial of service or arbitrary code execution. Users should upgrade to Apache Hadoop 2.10.2, 3.2.3, 3.3.2 or higher.",https://github.com/apache/hadoop,,,CWE-787,https://cwe.mitre.org/data/definitions/787.html
hadoop,CVE-2021-33036,"In Apache Hadoop 2.2.0 to 2.10.1, 3.0.0-alpha1 to 3.1.4, 3.2.0 to 3.2.2, and 3.3.0 to 3.3.1, a user who can escalate to yarn user can possibly run arbitrary commands as root user. Users should upgrade to Apache Hadoop 2.10.2, 3.2.3, 3.3.2 or higher.",https://github.com/apache/hadoop,,,CWE-22,https://cwe.mitre.org/data/definitions/22.html
hadoop,CVE-2022-25168,"Apache Hadoop's FileUtil.unTar(File, File) API does not escape the input file name before being passed to the shell. An attacker can inject arbitrary commands. This is only used in Hadoop 3.3 InMemoryAliasMap.completeBootstrapTransfer, which is only ever run by a local user. It has been used in Hadoop 2.x for yarn localization, which does enable remote code execution. It is used in Apache Spark, from the SQL command ADD ARCHIVE. As the ADD ARCHIVE command adds new binaries to the classpath, being able to execute shell scripts does not confer new permissions to the caller. SPARK-38305. ""Check existence of file before untarring/zipping"", which is included in 3.3.0, 3.1.4, 3.2.2, prevents shell commands being executed, regardless of which version of the hadoop libraries are in use. Users should upgrade to Apache Hadoop 2.10.2, 3.2.4, 3.3.3 or upper (including HADOOP-18136).",https://github.com/apache/hadoop,,,CWE-78,https://cwe.mitre.org/data/definitions/78.html
hadoop,CVE-2021-25642,"ZKConfigurationStore which is optionally used by CapacityScheduler of Apache Hadoop YARN deserializes data obtained from ZooKeeper without validation. An attacker having access to ZooKeeper can run arbitrary commands as YARN user by exploiting this. Users should upgrade to Apache Hadoop 2.10.2, 3.2.4, 3.3.4 or later (containing YARN-11126) if ZKConfigurationStore is used.",https://github.com/apache/hadoop,,,CWE-502,https://cwe.mitre.org/data/definitions/502.html
hadoop,CVE-2023-38188,Azure Apache Hadoop Spoofing Vulnerability,https://github.com/apache/hadoop,,,NVD-CWE-noinfo,https://cwe.mitre.org/data/definitions/NVD-noinfo.html
